gvkey,iid,datadate,tic,exchg,,,
5971,1,2024-02-29,WGEI,19,,,
5987,1,2024-02-29,GFF,11,,,
6008,1,2024-02-29,INTC,14,,,
6008,1,2024-03-31,INTC,14,,,
6013,2,2024-02-29,CCRD,11,,,
6014,1,2024-02-29,DEWM,19,,,
6021,1,2024-02-29,INRD,19,,,
6023,1,2024-02-29,SMAA,19,,,
6034,1,2024-02-29,TILE,14,,,
6066,1,2024-02-29,IBM,11,,,
6066,1,2024-03-31,IBM,11,,,
6078,1,2024-02-29,IFF,11,,,
6100,1,2024-02-29,IDCC,14,,,
6104,1,2024-02-29,IP,11,,,
6135,1,2024-02-29,ENB,11,,,
6135,1,2024-03-31,ENB,11,,,
6135,01C,2024-02-29,ENB.,7,,,
6135,01C,2024-03-31,ENB.,7,,,
6136,1,2024-02-29,IPG,11,,,
6193,1,2024-02-29,IOMT,19,,,
6216,1,2024-02-29,J,11,,,
6223,1,2024-02-29,EME,11,,,
6233,2,2024-02-29,SRL,11,,,
6233,02C,2024-02-29,MXB.U,9,,,
6266,1,2024-02-29,JNJ,11,,,
6266,1,2024-03-31,JNJ,11,,,
6268,1,2024-02-29,JCI,11,,,
6304,1,2024-02-29,KLAC,14,,,
6304,1,2024-03-31,KLAC,14,,,
6305,90,2024-02-29,KLMR,19,,,
6310,4,2024-02-29,KMI,11,,,
6311,1,2024-02-29,PNRG,14,,,
6326,1,2024-02-29,KAMN,11,,,
6333,1,2024-02-29,KCLI,19,,,
6338,1,2024-02-29,EVRG,14,,,
6338,1,2024-03-31,EVRG,14,,,
6343,1,2024-02-29,TCOR,19,,,
6375,1,2024-02-29,K,11,,,
6379,1,2024-02-29,KELYA,14,,,
6379,1,2024-03-31,KELYA,14,,,
6379,2,2024-02-29,KELYB,14,,,
6379,2,2024-03-31,KELYB,14,,,
6385,1,2024-02-29,KENS,19,,,
6386,1,2024-02-29,KMT,11,,,
6410,1,2024-02-29,KEQU,14,,,
6416,1,2024-02-29,KTCC,14,,,
6435,1,2024-02-29,KMB,11,,,
6435,1,2024-03-31,KMB,11,,,
6461,1,2024-02-29,KEX,11,,,
6494,90,2024-02-29,KMTUY,19,,,
6497,1,2024-02-29,KOSS,14,,,
6502,1,2024-02-29,KR,11,,,
6502,1,2024-03-31,KR,11,,,
6506,90,2024-02-29,KUBTY,19,,,
6509,1,2024-02-29,KLIC,14,,,
6512,90,2024-02-29,KYOCY,19,,,
6527,1,2024-02-29,LYTS,14,,,
