DATE,COMNAM,TICKER,PERMNO
2019-02-15,AMERICAN RESOURCES CORP,AREC,18396
1997-05-15,ARGUSS HOLDINGS INC,ARGX,77210
2000-05-19,ARGUSS COMMUNICATIONS INC,ARGX,77210
2017-05-18,ARGENX SE,ARGX,16699
2021-11-04,ARHAUS INC,ARHS,22262
2021-12-09,ARISZ ACQUISITION CORP,ARIZ,22527
2020-12-23,A R K O CORP,ARKO,18844
1994-12-14,ARK RESTAURANTS CORP,ARKR,85586
1999-08-17,ALLIANCE RESOURCE PARTNERS,ARLP,87198
1997-06-19,A R M FINANCIAL GROUP INC,ARM,85055
2000-07-10,ARVINMERITOR INC,ARM,85349
1990-07-03,ARROW FINANCIAL CORP,AROW,15070
2021-09-07,ARQIT QUANTUM INC,ARQQ,21913
2020-01-31,ARCUTIS BIOTHERAPEUTICS INC,ARQT,19184
1993-07-22,ARROW TRANSPORTATION CO,ARRW,79370
2000-11-06,MINDARROW SYSTEMS,ARRW,88789
2021-04-22,ARROWROOT ACQUISITION CORP,ARRW,21023
2000-11-17,ARRAY BIOPHARMA INC,ARRY,88790
2020-10-15,ARRAY TECHNOLOGIES INC,ARRY,19851
1993-04-15,FIRST CONSTITUTION FINL CORP,ARTL,75503
1993-04-19,ARISTOTLE CORP,ARTL,75503
2019-06-21,ARTELO BIOSCIENCES INC,ARTL,18773
1996-05-24,ARTESIAN RESOURCES CORP,ARTNA,83469
2004-06-10,ARTS WAY MANUFACTURING INC,ARTW,15203
2021-03-25,ARRIVAL,ARVL,19230
2018-09-27,ARVINAS INC,ARVN,18100
2004-09-03,ARROWHEAD RESEARCH CORP,ARWR,80069
2016-04-07,ARROWHEAD PHARMACEUTICALS INC,ARWR,80069
2021-02-26,ARYA SCIENCES ACQ CORP IV,ARYD,20569
1993-11-09,AMERISTAR CASINOS INC,ASCA,79795
2022-03-17,A S P A C I ACQ CORP,ASCA,22887
2022-05-31,A S P A C II ACQ CORP,ASCB,23100
2020-12-23,AERSALE CORP,ASLE,18410
2018-05-04,ASLAN PHARMACEUTICALS LTD,ASLN,17808
2014-07-14,ASSEMBLY BIOSCIENCES INC,ASMB,12497
1999-02-16,A S M LITHOGRAPHY HOLDING N V,ASML,81472
2001-06-01,A S M L HOLDING N V,ASML,81472
1994-05-13,ASCEND COMMUNICATIONS INC,ASND,80506
2015-01-28,ASCENDIS PHARMA A S,ASND,15171
2017-11-16,ARSANIS INC,ASNS,17105
2022-05-13,ACTELIS NETWORKS INC,ASNS,23101
2001-01-02,AMSOUTH BANCORPORATION,ASO,62770
2008-12-15,AIRSHARES E U CARBON ALLOWANCES,ASO,92853
2020-10-02,ACADEMY SPORTS & OUTDOORS INC,ASO,19945
2022-11-10,ASP ISOTOPES INC,ASPI,23509
2009-08-10,ALTISOURCE PORTFOLIO SLTNS S A,ASPS,92981
2018-08-15,ASSERTIO THERAPEUTICS INC,ASRT,85686
2020-05-20,ASSERTIO HOLDINGS INC,ASRT,85686
2001-05-07,AMERISERV FINANCIAL INC,ASRV,92807
2009-05-04,ASTROTECH CORP,ASTC,82747
2004-06-10,ASTEC INDUSTRIES INC,ASTE,10382
1994-07-25,ASTRUM INTERNATIONAL CORP,ASTI,80731
1995-07-14,SAMSONITE CORP NEW,ASTI,80731
1998-03-11,ALLERGAN SPECIALTY THERAP INC,ASTI,85856
2006-08-10,ASCENT SOLAR TECHNOLOGIES INC,ASTI,91428
2021-10-20,ALGOMA STEEL GROUP INC,ASTL,22182
2021-07-01,ASTRA SPACE INC,ASTR,19835
2021-04-07,A S T SPACEMOBILE INC,ASTS,19076
1993-08-04,ADVANCED SURGICAL INC,ASUR,79471
2007-09-13,FORGENT NETWORKS INC,ASUR,77505
2009-12-29,ASURE SOFTWARE INC,ASUR,77505
1993-06-07,AMTECH SYSTEMS INC,ASYS,65008
2008-01-29,A T A INC,ATAI,92520
2019-10-01,A T A CREATIVITY GLOBAL,ATAI,92520
2021-06-18,ATAI LIFE SCIENCES N V,ATAI,21516
2022-03-21,AURORA TECHNOLOGY ACQ CORP,ATAK,22888
2022-11-11,ATOUR LIFESTYLE HOLDINGS LTD,ATAT,23518
1994-11-04,HILLSIDE BEDDING INC,ATEC,78868
1995-12-22,A T E C GROUP INC,ATEC,78868
2006-06-02,ALPHATEC HOLDINGS INC,ATEC,91348
2021-04-30,ATERIAN INC,ATER,18780
1990-08-21,ATLANTIC EXPRESS INC,ATEX,12121
2019-06-17,PDVWIRELESS INC,ATEX,15226
2019-08-07,ANTERIX INC,ATEX,15226
2020-09-18,ATHIRA PHARMA INC,ATHA,19812
2019-04-09,ALTERITY THERAPEUTICS LTD,ATHE,89505
2019-05-03,A T I F HOLDINGS LTD,ATIF,18645
1995-12-14,ATLANTIC PHARMACEUTICALS INC,ATLC,82670
2000-03-30,ATLANTIC TECHNOLOGY VENTURES INC,ATLC,82670
2012-12-03,ATLANTICUS HOLDINGS CORP,ATLC,86819
2004-12-03,AMES NATL CORP,ATLO,90470
2001-06-05,AT TRACK COMMUNICATIONS INC,ATMC,81713
2020-11-09,180 LIFE SCIENCES CORP,ATNF,16788
1991-11-14,ATLANTIC TELE NETWORK INC,ATNI,77090
2016-06-21,A T N INTERNATIONAL INC,ATNI,77090
1999-09-07,ATOMIC BURRITO INC,ATOM,80583
2016-11-14,ATOMERA INC,ATOM,16250
2012-11-08,ATOSSA GENETICS INC,ATOS,13693
2020-01-10,ATOSSA THERAPEUTICS INC,ATOS,13693
1999-09-22,ATHEY PRODUCTS CORP,ATPC,15502
1990-06-25,ATRATECH INC,ATRA,76042
2014-10-16,ATARA BIOTHERAPEUTICS INC,ATRA,14991
1996-08-20,ATRIA COMMUNITIES INC,ATRC,83843
2005-08-05,ATRICURE INC,ATRC,90856
1996-05-07,ATRION CORP,ATRI,11587
2004-06-10,ASTRONICS CORP,ATRO,15457
2008-05-16,AIR TRANSPORT SERVICES GROUP INC,ATSG,90716
2022-08-31,ADDENTAX GROUP CORP,ATXG,23273
1991-04-10,ATRIX INTERNATIONAL INC,ATXI,76883
2017-06-27,AVENUE THERAPEUTICS INC,ATXI,16778
2021-09-09,ASTRIA THERAPEUTICS INC,ATXS,15416
1995-09-06,AUBURN NATIONAL BANCORP,AUBN,82251
1999-05-28,AUDIOCODES LTD,AUDC,86929
2021-10-26,AUGMEDIX INC,AUGX,22183
2021-08-24,IPSIDY INC,AUID,21829
2022-07-20,AUTHID INC,AUID,21829
2014-09-02,AURINIA PHARMACEUTICALS INC,AUPH,14924
1992-12-03,AURORA ELECTRONICS INC,AUR,64717
2021-11-04,AURORA INNOVATION INC,AUR,21331
1992-06-25,AURA SYSTEMS INC,AURA,12122
2021-10-29,AURA BIOSCIENCES INC,AURA,22184
2018-06-22,AUTOLUS THERAPEUTICS PLC,AUTL,17870
2021-02-17,AUDDIA INC,AUUD,20572
2020-08-31,APPLIED UV INC,AUVI,19621
2021-04-29,AVEANNA HEALTHCARE HOLDINGS INC,AVAH,21026
2007-01-23,AEROVIRONMENT INC,AVAV,91733
1992-04-23,AVONDALE INDUSTRIES INC,AVDL,10360
2017-01-03,AVADEL PHARMACEUTICALS PLC,AVDL,83656
2021-10-13,AVIDXCHANGE HOLDINGS INC,AVDX,22081
2000-09-27,AVANTGO INC,AVGO,88618
2009-08-06,AVAGO TECHNOLOGIES LTD,AVGO,93002
2016-02-01,BROADCOM LTD,AVGO,93002
2018-04-05,BROADCOM INC,AVGO,93002
2015-01-30,AVINGER INC,AVGR,15172
2012-02-16,A V HOMES INC,AVHI,16030
2021-11-17,ACHARI VENTURES HLDGS CORP I,AVHI,22279
1996-11-05,AVIRON,AVIR,84192
2016-04-13,AVIRAGEN THERAPEUTICS INC,AVIR,57913
2020-10-30,ATEA PHARMACEUTICALS INC,AVIR,19939
2010-01-29,AVIAT NETWORKS INC,AVNW,91836
2002-07-01,ADVANCED MEDICAL OPTICS INC,AVO,89426
